,name,header error,image error,bio error
0,W. H. Bean,False,True,False
1,Matilda Auchincloss Brownell,False,True,False
2,Wilhelm Heinrich Funk,False,True,False
3,John Henry Hill,False,True,False
4,John Mare,False,True,False
5,Cephas Thompson,False,True,False
6,Guan Liang,False,True,False
7,Lucas Cranach,False,True,False
8,Lucas Cranach,False,True,False
9,Pietro di Domenico da Montepulciano,False,True,False
10,Ali Banisadr,False,True,False
11,Reza Derakhshani,False,True,False
12,first quarter of 14th century Italian [Tuscan] Painter,False,True,False
13,Domingo Ram,False,True,False
14,Niccolò di Tommaso,False,True,False
15,Paul Dougherty,False,True,False
16,Edward Avedisian,False,True,False
17,Thomas Sills,False,True,False
18,Friedel Dzubas,False,True,False
19,Gandy Brodie,False,True,False
20,Dan Christensen,False,True,False
21,Jack Whitten,False,True,False
22,Jules Olitski,False,True,False
23,Milton Avery,False,True,False
24,Maxwell Hendler,False,True,False
25,Walter Darby Bannard,False,True,False
26,Morris Louis,False,True,False
27,Alice Trumbull Mason,False,True,False
28,Larry Zox,False,True,False
29,Robert Kulicke,False,True,False
30,Alex Katz,False,True,False
31,Wolf Kahn,False,True,False
32,Charles Seliger,False,True,False
33,Lee Gatch,False,True,False
34,Raphael Soyer,False,True,False
35,Frank Bowling,False,True,False
36,Malcolm Bailey,False,True,False
37,Joan Snyder,False,True,False
38,Doug Ohlson,False,True,False
39,Margo Hoff,False,True,False
40,Edda Renouf,False,True,False
41,Jean Helion,False,True,False
42,Mark Tansey,False,True,False
43,Mark Baum,False,True,False
44,Richard Bosman,False,True,False
45,Mark Innerst,False,True,False
46,Robert Natkin,False,True,False
47,James Havard,False,True,False
48,Jonathan Weinberg,False,True,False
49,Glenn Coleman,False,True,False
50,Red Grooms,False,True,False
51,Emil Bisttram,False,True,False
52,Hunt Slonem,False,True,False
53,Gregory Amenoff,False,True,False
54,Rackstraw Downes,False,True,False
55,Sidney Goodman,False,True,False
56,Lee Jaffe,False,True,False
57,Peter Booth,False,True,False
58,Ken Kiff,False,True,False
59,Anne Ryan,False,True,False
60,Louise Fishman,False,True,False
61,Giorgio Cavallon,False,True,False
62,Ben-Zion,False,True,False
63,Honore Sharrer,False,True,False
64,Jerome Witkin,False,True,False
65,Katherine Bowling,False,True,False
66,Neil Jenney,False,True,False
67,Troy Brauntuch,False,True,False
68,Andrew Spence,False,True,False
69,Paul Benney,False,True,False
70,Altoon Sultan,False,True,False
71,Ida Applebroog,False,True,False
72,Katherine Porter,False,True,False
73,Benny Andrews,False,True,False
74,Leon Kossoff,False,True,False
75,John Koch,False,True,False
76,Joe Andoe,False,True,False
77,Allan D'Arcangelo,False,True,False
78,Vladimir Kompanek,False,True,False
79,Paul Burlin,False,True,False
80,Idelle Weber,False,True,False
81,Charmion Von Wiegand,False,True,False
82,Burgoyne Diller,False,True,False
83,Margery Edwards,False,True,False
84,Rosalie Gascoigne,False,True,False
85,Euan Macleod,False,True,False
86,Imants Tillers,False,True,False
87,Julian Lethbridge,False,True,False
88,Caio Fonseca,False,True,False
89,Leland Bell,False,True,False
90,Luigi Lucioni,False,True,False
91,Mario Bencomo,False,True,False
92,Earl Cunningham,False,True,False
93,Glen Hansen,False,True,False
94,Odd Nerdrum,False,True,False
95,Patrick Procktor,False,True,False
96,Miklos Suba,False,True,False
97,Beatriz Milhazes,False,True,False
98,Charles Bittinger,False,True,False
99,Edwin Dickinson,False,True,False
100,Richard Blow,False,True,False
101,Frank Mechau,False,True,False
102,Maud Morgan,False,True,False
103,Harry Shoulberg,False,True,False
104,Bradley Walker Tomlin,False,True,False
105,Leonid,False,True,False
106,Dahlov Ipcar,False,True,False
107,Walter Stuempfig,False,True,False
108,Mitchell Siporin,False,True,False
109,Karl Zerbe,False,True,False
110,Lamar Dodd,False,True,False
111,Carlyle Brown,False,True,False
112,Robert Philipp,False,True,False
113,Joseph Glasco,False,True,False
114,John Hultberg,False,True,False
115,Carroll Cloar,False,True,False
116,Robert Goodnough,False,True,False
117,Earl Kerkam,False,True,False
118,Alfred Leslie,False,True,False
119,Ian Phillips,False,True,False
120,Alice Dalton Brown,False,True,False
121,Matthew Weinstein,False,True,False
122,Robert Ryman,False,True,False
123,Ralph Fasanella,False,True,False
124,Vincent D. Smith,False,True,False
125,Ellen Phelan,False,True,False
126,Pierre Matisse,False,True,False
127,Jaune Quick-to-See Smith,False,True,False
128,Gazbia Sirry,False,True,False
129,Betty Woodman,False,True,False
130,Peter Sacks,False,True,False
131,Sylvia Plimack Mangold,False,True,False
132,Rashid Rana,False,True,False
133,Chantal Joffe,False,True,False
134,Nate Lowman,False,True,False
135,Callum Innes,False,True,False
136,Oscar Howe,False,True,False
137,Elmar Rojas,False,True,False
138,Ron Gorchov,False,True,False
139,Jeff,False,True,False
140,May Stevens,False,True,False
141,Peter Schuyff,False,True,False
142,Melissa Meyer,False,True,False
143,Oliver Jackson,False,True,False
144,Paul Wonner,False,True,False
145,Chuck Connelly,False,True,False
146,Javier Arevalo,False,True,False
147,Theophilus Brown,False,True,False
148,Nancy Haynes,False,True,False
149,Marcia Grostein,False,True,False
150,Randall Schmit,False,True,False
151,Tomma Abts,False,True,False
152,Kamrooz Aram,False,True,False
153,Golnaz Fathi,False,True,False
154,Joe Light,False,True,False
155,Shiva Ahmadi,False,True,False
156,William A. Harper,False,True,False
